error_type,word,gt_snippet,gt_index,whisper_snippet,whisper_index,score,dataset,folder
under,yeah,year you shouldnt consider q4 as an isolated growth because yeah on the basis of 2019 you had an increase of,3649,the year you shouldnt consider q4 as an isolated growth because on the basis of 2019 you had an increase,3646,95.1923076923077,combined_22,4482311
under,yeah,year you shouldnt consider q4 as an isolated growth because yeah on the basis of 2019 you had an increase of,3649,the year you shouldnt consider q4 as an isolated growth because on the basis of 2019 you had an increase,3611,95.1923076923077,combined_22,4482311
over,test,next slide and the demand for higher yielding crisis goods has soared the market demand has been much weaker in,1221,next slide and the demand for higher yielding crisis go test for it the market demand has been much weaker in,1233,91.74311926605505,combined_21,4359732
under,test,this continued origination success through the ongoing pandemic is a test testament to the energy resources significant competitive advantages including our,1097,call this continued origination success through the ongoing pandemic is a testament to the energy resources significant competitive advantages including,1115,96.71052631578947,combined_21,4360674
under,test,this continued origination success through the ongoing pandemic is a test testament to the energy resources significant competitive advantages including our,1097,call this continued origination success through the ongoing pandemic is a testament to the energy resources significant competitive advantages including,1107,96.71052631578947,combined_21,4360674
under,test,this continued origination success through the ongoing pandemic is a test testament to the energy resources significant competitive advantages including our,1097,call this continued origination success through the ongoing pandemic is a testament to the energy resources significant competitive advantages including,1086,96.71052631578947,combined_21,4360674
under,test,1 is we havent seen yet although we have some test to deliver in a very efficient way with some back,5816,1 is we havent seen yet although we have some tests to deliver in a very efficient with some backstores,5441,97.46192893401016,combined_21,4360717
under,test,1 is we havent seen yet although we have some test to deliver in a very efficient way with some back,5816,1 we havent seen yet although we have some tests to deliver in a very efficient way with some backstores,5419,97.97979797979798,combined_21,4360717
under,test,1 is we havent seen yet although we have some test to deliver in a very efficient way with some back,5816,1 we havent seen yet although we have some tests to deliver in a very efficient way with some backstores,5282,97.97979797979798,combined_21,4360717
over,test,whether we have on a certain assets a market chest or not okay thank you thank you john next question,7720,you whether we have on a certain asset a market test or not okay thank you thank you john next question,7670,98.0,combined_21,4368670
over,test,whether we have on a certain assets a market chest or not okay thank you thank you john next question,7720,you whether we have on a certain asset a market test or not okay thank you thank you john next question,7677,98.0,combined_21,4368670
over,test,whether we have on a certain assets a market chest or not okay thank you thank you john next question,7720,you whether we have on a certain assets a market test or not okay thank you thank you john next question,7531,98.50746268656717,combined_21,4368670
over,test,key customer strategy has been reflected in the consistency for our past results the value of this approach have never,1422,key customer strategy has been reflected in the consistency for test results the value of this approach has never been more,1426,95.23809523809523,combined_21,4383161
over,test,also shipping units extra distribution to the service center where they have reduced for retrofit installations as geoff mentioned the,1752,also shipping units extra for distribution to the service and test where they have been used for retrofit installations as just,1715,90.08264462809917,combined_21,4394084
over,test,lot of people have to call into our call centers they have to walk to our stores to get basic,9360,lot of people have to call into our call send test they have to walk to our snores to get basic,9089,94.6236559139785,combined_22,2020-Annual-Results-Call-Recording
under,test,the last 12 months revenue moving on to our head test at the bottom left you can find our updated fuel,2690,last 12 months revenue moving on to our head tests at the bottom left you can find our updated fuel,2786,99.49238578680203,combined_22,4329526
over,test,of data center and and the first stage is expected to commence next year in the long run we tend,901,center and the first stage is expected to commence a test in april next year in the long run we plan,986,83.33333333333334,combined_22,4351517
under,test,published its results last week i would say a solid test result the company continues to pull solid operational performance in,2135,published its results last week i would say a solid set result the company continued to post solid operational performance,2223,95.08196721311475,combined_22,4443871
over,test,sales density so you mentioned that you reach already sales density potentially in in colombia to hopefully get to breakeven,7201,cell density so you mentioned that you reach already the test density potentially in colombia to hopefully get to break even,6903,93.06122448979592,combined_22,4443920
over,test,too early to disclose numbers but hepsipay wallet enables instant returns cancellations and cash backs along with hepsipay wallet hepsipay,4510,but have to pay wallets enables instant returns installations and test that along with have to pay wallets have to pay,4558,77.87610619469027,combined_22,4452058
over,test,lets take a look at another strategic asset hepsiexpress at hepsiexpress we aim to become a mainstream grocery shopping destination,1174,at another statistical set pre ss the x ray as test express we aim to become a mainstream grocery shopping destination,1224,84.48275862068965,combined_22,4452058
over,test,hybrid business model and integrated ecosystem well positions us for success third question if im not mistaken is about hepsipay,4408,and integrated ecosystem they are in positions of post tax test third question if im not mistaken is about haccp pay,4450,81.98198198198199,combined_22,4452058
over,test,question during the session you will need to pre ss star 1 on your telephone please be advised that todays,43,ask a question during the session you will need to test our 1 on the telephone please be advised that todays,52,91.34615384615384,combined_22,4453076
over,test,reduced significantly the and thats really out of a strong a operating cash conversion really an unbelievable performance from our,8971,reduced significantly the net really out of the strong operating test conversion really an unbelievable performance from our team there and,8674,92.1259842519685,combined_22,4453225
over,test,both for tv sets and panels and consumer needs we forecast that the demand for pre mium product will continue,3775,both for tv steps and panels and consumer needs before test that the demand for pre mium products will continue to,5302,93.57798165137613,combined_22,4463693
over,test,about it compared to 21 do you think capital intensity will increase in 22 compared to 21 given where the,3498,about it compared to 21 do you think capital and test will increase in 22 compared to 21 given where where,3495,95.69377990430623,combined_22,4466399
over,test,about it compared to 21 do you think capital intensity will increase in 22 compared to 21 given where the,3498,about it compared to 21 do you think capital and test you will increase in 22 compared to 21 given our,3491,93.93939393939394,combined_22,4466399
over,test,payout ratio of about 50 as you know the can be found on our website franck renoir and i are,1571,event pre emptation and the replay with we play with test can be found on our website frank ronan and i,1631,70.3030303030303,combined_22,4466607
over,test,they will benefit from the latest controller developed very simply by axom from synergies financing synergy has been achieved of,2148,much thank you form and we benefit from the late test controller developed very simply by atom 400 million synergies safe,2204,78.30188679245282,combined_22,4468000
over,test,moment third on sonae mc like for like despite the discounts can you tell us if it remained positive in,2708,on sony imc like for like keep stalling despite the test counts can you tell us if it remained positive in,2784,80.97560975609757,combined_22,4468639
over,test,third on sonae mc like for like despite the discounts can you tell us if it remained positive in october,2709,sir on sunamc like for like keep solid despite the test comps can you tell us if it remained positive in,2743,85.0,combined_22,4468639
over,test,substantially compensating each other right to deliver a full year free cash flow invasion of 300 million compared to the,4217,compensating in china right to deliver a full year pre test load in the region of 300 million compared to the,4557,82.4074074074074,combined_22,4468678
over,test,milestone delivery in the project business which are very passion rate in the last part of the year mainly the,3725,turn the delivery of the project business which are very test generative in the last part of the year namely the,4064,84.7926267281106,combined_22,4468678
over,test,and also milestone delivery in the project business which are very passion rate in the last part of the year,3723,also milestone delivery in the project business which are very test generative in the last part of the year namely the,3931,91.16279069767442,combined_22,4468678
over,test,substantially compensating each other right to deliver a full year free cash flow invasion of 300 million compared to the,4217,substantially compensating each other to deliver a full year pre test flow in the region of 300 million compared to the,4218,88.23529411764706,combined_22,4468678
over,test,minuses but the reality is that our full year free cash flow should remain pre tty stable from this last,4261,minuses but the reality is that our full year pre test flow should remain pre tty stable from these last 12,4264,94.23076923076923,combined_22,4468678
over,test,context we continued to review the cross sales having canceled most of the through the quarter for 55 million posting,2256,to reduce the gross debt having canceled most of the test maturities during the quarter for 65 million posting 1 5,2269,80.0,combined_22,4468679
over,test,our body armor products are comprised of our range of chest protectors body protectors and vests back protectors knee braces,586,our body armor products are comprised of a range of test protectors body protectors best back protectors knee braces knee and,589,94.16666666666667,combined_22,4469075
over,test,30th the day before the change on october the 1st normally it takes at least a month for other banks,2916,september 30th the day before the change on october 1st test normally it takes at least a month for other banks,2970,96.0,combined_22,4470010
over,test,gross contribution margin we have done certain tests during october but november and december is not the time but we,6912,improve our gross contribution margin we have done a certain test during october but november and december is not the time,6977,95.57522123893806,combined_22,4471606
over,test,with traveling and able to do more in destinations the trans atlantic travel markets have seen recovery take shape and,318,cant pull with traveling and able to do more in test stations the transatlantic travel markets have seen recovery take shape,324,94.82758620689656,combined_22,4475486
over,test,the general ramp up of activities lets look at the cash flow on the next slide slide 9 the free,1534,the general ramp up of activities lets look at the test on the next slide slide 9 the free cash flow,1547,94.05405405405405,combined_22,4479741
over,test,is in the environment we are operating in just remind me mathias was there a second part to your question,6220,where we are operating in just remind me and my test was there i saw a second part to your question,6071,87.43169398907104,combined_22,4479741
over,test,these when you draw a pl only on the sales so that means keep the revolver to the side keep,10545,when you draw a p and l only on the test so that means keep the revolvers to the side keep,10539,93.71428571428572,combined_22,4479944
over,test,ss star key followed by zero on your telephone for further assistance may now hand you over to robert from,50,start you followed by zero on your telephone for operating test systems may now head over to robert hildebrand from investor,62,79.6116504854369,combined_22,4483589
over,test,the story il 13 certainly not the full weve got the best profile yeah i think well sorry was there,10314,the story 12 13 certainly not the pull got the test profile thank you thats right well follow on thank you,10939,76.57142857142857,combined_22,4484563
under,sugar,19 continued to spread globally and im not going to sugar coat this we got hit hard in some of our,1226,19 continued to spread globally and im not going to sugarcoat this we got hit hard in some of our,1235,98.96907216494846,combined_21,4341191
under,sugar,19 continued to spread globally and im not going to sugar coat this we got hit hard in some of our,1226,19 continued to spread globally and im not going to sugarcoat this we got hit hard in some of our,1221,98.96907216494846,combined_21,4341191
under,sugar,19 continued to spread globally and im not going to sugar coat this we got hit hard in some of our,1226,19 continued to spread globally and im not going to sugarcoat this we got hit hard in some of our,1219,98.96907216494846,combined_21,4341191
over,sugar,2022 in terms of all these 4 buckets what should we think about kind of a you know incremental capex,6186,2022 in terms of for all these 4 buckets of sugar in the pot of you know incremental capital in 2023,6064,79.7872340425532,combined_22,4482682
over,semester,the the the and also we and also we do got it thanks a lot thank you once again if,3263,mind effort of the 5g so this is the first semester got it thanks a lot thank you once again if,4002,75.86206896551724,combined_22,4453076
over,semester,looking forward to the results of 4 pivotal studies including amcenestrant in second and third line metastatic breast cancer as,6167,forward to the results of 4 pivotal studies including our semester on in second and third line metastatic breast cancer as,6308,93.7759336099585,combined_22,4484563
over,video,a recent example from gas power in our greenville facility the team use lean to cut the distance that a,1091,bit of what im going to show you in this video the team used lean to cut the distance that a,1120,71.23287671232876,combined_21,4341191
over,video,you face in there so were seeing strength in small equipment and and pre ssure in big iron how does,13391,end of this video ill see you in the next video and strength in small equipment and pre ssure in big,12994,73.98843930635839,combined_21,4341191
over,video,from covid 19 from densely populated regions compared to others that are not as densely populated regions bill that that,8752,from covid 19 from densely populated regions in the next video thank you are not as densely populated regions that 1,8815,83.62068965517241,combined_21,4346923
over,video,structure for our portfolio and the proactive measures we are taking we can see that we are on the right,2064,have the structure for our portfolio and to the next video we are taking we consider we are on the right,2169,81.4070351758794,combined_21,4363614
over,video,poised to take advantage of a sizable and growing pipeline the pandemic has underscored the critical nature of health care,837,have a great day well see you in the next video the pandemic has underscored the critical nature of health care,862,78.1725888324873,combined_21,4366302
over,video,thank you all for joining us today for affimed second quarter 2020 financial results and operation progress conference call before,70,for joining us today ill see you in the next video 20 20 financial results and operational progress conference call before,80,83.19327731092436,combined_21,4367535
over,video,double digit million where they put money directly into specific projects usually the european unions budget is a huge kind,5984,money directly into specific projects see you in the next video see you the european unions budget is a huge kind,5964,83.0,combined_21,4368670
over,video,core market and is that whats driving this and i think not at all are we remain confident in our,6948,this thank you and ill see you in the next video i think not at all we remain confident in our,6773,73.5632183908046,combined_21,4375653
over,video,especially at the price thats been been talked about thank you thank you tycho all right a lot of ground,5405,thats being talked about ill see you in the next video thank you jacko all right a lot of ground to,5271,74.86033519553072,combined_21,4375653
over,video,small projects that that are currently baked into our plans thank you our next question comes from rodger reed from,6012,plans thanks for watching and see you in the next video thank you our next question comes from roger reed from,5889,71.69811320754718,combined_21,4382825
over,video,of more stable income in the in the developing economies the next question is from peter galbo with bank of,6795,for your time and ill see you in the next video the next question is from peter galbo with bank of,6758,75.93582887700535,combined_21,4383161
under,video,8 new films through a youtube live pre miere featuring video introductions from our ambassadors filmmakers and film subjects this event,882,8 new films through a youtube live pre miere well be right back to you next week well be right,883,70.27027027027026,combined_21,4385388
over,video,and services act change the nature of these relationships and if so in what way and then my last question,5187,thank you for watching ill see you in the next video if so in what way and then my last question,5111,70.65868263473054,combined_22,2020-03-0230487MTN-Ghana-2019-Annual-Results-Call
over,video,helpful thank you thank you and ladies and gentlemen this concludes our qna session and program for today thank you,5113,helpful thanks for watching well see you in the next video thank you and ladies and gentlemen this concludes our qa,5260,77.89473684210526,combined_22,4329526
over,video,to may at your first quarter results and the fairly positive update and i think certainly my interpretation was that,6835,thats all guys ill see you guys in the next video positive update and i think certainly my interpretation was that,6893,77.55102040816327,combined_22,4372696
over,video,move to slide 5 prior to the latest locked down in chile activity was building strong momentum in the short,754,5 thanks for watching ill see you in the next video in chile activity was building strong momentum in the short,774,78.94736842105263,combined_22,4423872
under,video,returns at dot com levels with the need to fulfill video strategy and negotiate moving forward g g good question thank,3157,cash returns at the home level with the need to fulfill telcoms digital telco strategy leadership going forward just 2,3158,73.48837209302326,combined_22,4426736
under,video,returns at dot com levels with the need to fulfill video strategy and negotiate moving forward g g good question thank,3157,returns at telkom level with the need to fulfill telkoms digital telco strategy and leadership going forward just 2 questions,3047,72.41379310344827,combined_22,4426736
over,video,business with the thin margin and then in and enterprise we have about a a margin about so we noticed,4652,then in the area of enterprise we have about the video margin around 10 on this 1 so we know this,6429,71.95121951219512,combined_22,4453076
over,video,objectives really are a strategic to our existing portfolio and how we leverage these assets weve built or these platforms,9174,are objectives really or the strategic bits in the next video thanks for watching and how we leverage these assets weve,8861,75.92592592592592,combined_22,4453225
over,video,his service since then he he was made very early in that timeframe the financial director of aspens south african,3139,his service thanks for watching see you in the next video he was made very early in that time frame the,3044,78.61271676300578,combined_22,4453225
over,video,that and the shareholders shouldnt be penalized for it so you know more to come on that 1 on the,3671,penalised for it so ill see you in the next video you know more to come on that 1 on the,3673,78.08219178082192,combined_22,4461799
over,video,when we report fourth quarter results just as a reminder the purchase price was about 900 million and we expect,1115,as i remind you this is the end of this video the purchase price was about 900 million and we expect,1143,78.57142857142857,combined_22,4462231
over,video,the strategic plan for this year 2021 was eur1 6 billion because we were taking at that time 50 per,8508,the strategic plan for this year 2021 was 1 6 video because we were taking at that time 50 per hour,8164,94.30051813471503,combined_22,4463259
over,video,you and now i will hand over to thanks paolo let me start with the summary of our financial highlights,1679,you sir thank you ill see you in the next video let me start with the summary of our financial highlights,1799,77.720207253886,combined_22,4464164
over,video,initiatives in particular in what we name faster expanding segments we target to raise the share of group sales made,1408,name faster spending segments well see you in the next video take care to raise the share of group sales made,1452,78.72340425531915,combined_22,4466607
over,video,the first 2 questions and im going to pass effective tax rates to political landscape its its still early we,5774,the first 2 questions and im going to pass the video regarding tax rates to possible benefit political landscape its still,5901,72.03791469194313,combined_22,4466718
over,video,regions with the exception of the south and paraguay well the next question comes from walter bearing in mind the,4810,south and paraguay well ill see you in the next video the next question comes from walter bearing in mind the,4802,84.04255319148936,combined_22,4467079
over,video,some cash from the customers due to the delivery of the project here we are we could i mean the,5981,to get some cash from the customers due to the video or the project here where we could i mean the,6107,92.47311827956989,combined_22,4468000
over,video,be the inflation during the sale so theoretic movement of inflation are not always easy to handle and thats why,4405,and thats it and ill see you in the next video of implications are not easy to handle and thats why,4584,70.89947089947091,combined_22,4468000
over,video,the higher inter internalization so i think this is quite in line with with the with the strategy and this,3859,internalization so i think this is the end of this video this is quite in line with the strategy and this,3656,79.38144329896907,combined_22,4468647
over,video,so i im very excited to be honest with you about the base business thank you very much appreciate it,4717,the menu so im very excited to be on this video about the bayes business thank you very much appreciate it,4634,90.35532994923858,combined_22,4468654
over,video,is really is allowing us to be more pre cise and i think its fair to say that compared to,6378,us to be more ill see you in the next video and i think its fair to say that compared to,6271,81.29032258064515,combined_22,4468654
over,video,line and this certainly is generating delays with the with the launch but we also believe by the same token,5207,manufacturing line and this certainly is generating delays with the video launch but we also believe by the same token that,5125,94.39252336448598,combined_22,4468654
over,video,million after the acquisition of and that has been the you can see very clearly the very big increase of,2137,of geraski and that has been the end of this video you can see very clearly the very big increase of,2411,85.0574712643678,combined_22,4468678
over,video,million euro of revenues probably 2 or 3 ebitda declining revenues because its a legacy business its checks and the,12666,revenues probably 2 or well see you in the next video declining revenues because its a legacy business checks and the,12928,78.26086956521739,combined_22,4468715
over,video,prices going down is positive and on top of it you also have value added service so prices tend to,13317,prices going down is positive and on top of the video so we have that service so prices tend to go,13472,86.01036269430051,combined_22,4468715
