number,gt_snippet,whisper_snippet,type,variant,score,dataset,folder
10,a reduction in average loan volumes moving on to slide 10 we show that our financial margins with the market was,reduction in average loan volumes movie on just like ten we show that our financial margins with the market was,missing,whisper-small,93.21266968325791,combined_22,4423872
3,to the upside we still see inflation close to the 3 target over our forecast horizon as the output output is,year moreover risks remain tilted to the upside inflation close to the over our forecast horizon as the output is,missing,whisper-large-v3-turbo,84.49197860962568,combined_22,4423872
2,citigroup please ask your question hi thanks for the opportunity 2 questions please first can we get a better understanding of,citigroup please ask your question hi thanks for the opportunity to questions please first can you get a better understanding,missing,whisper-small,96.7741935483871,combined_22,4426736
2,citigroup please ask your question hi thanks for the opportunity 2 questions please first can we get a better understanding of,citigroup please ask your question hi thanks for the opportunity to questions please first can you get a better understanding,missing,whisper-small,96.7741935483871,combined_22,4426736
2,expect consolidated revenue to grow by around mid single digit 2 ebitda margin is expected to be relatively stable 3 capital,revenue to flow by around next single digit to a bigger margin is expected to be relatively stable the capital,missing,whisper-small,86.91588785046729,combined_22,4426736
6,in the home and with some potential additional permits from 6 1 access for the new customers especially for the area,in the home and with some potential additional coming from the fixed world access for the new customers especially for,missing,whisper-large-v3-turbo,84.48275862068965,combined_22,4426736
2,expect consolidated revenue to grow by around mid single digit 2 ebitda margin is expected to be relatively stable 3 capital,expect consecutive revenue to grow by around mid summer digit doom ebitda margin is expected to be relatively stable the,missing,whisper-large-v3-turbo,88.51063829787233,combined_22,4426736
2,afternoon thanks for the call and congrats for the results 2 questions firstly on mobile can you talk about the competitive,afternoon thanks for the call and congrats for the results cushions firstly on mobile can you talk about the competitive,missing,whisper-large-v3-turbo,95.83333333333334,combined_22,4426736
6,have some data centers i its just under our subsidiary 6 sigma and also in telkom international now and their parent,so basically we have some data centers which is under our subsidiary sigma and also in telkom international and parent,missing,whisper-large-v3-turbo,89.90825688073394,combined_22,4426736
5,pre ssured by competition and legacy decline in the past 5 years we have seen revenue portion from fixed business increase,pre ssured by competition and legacy decline in the past year we have seen revenue portion from fixed business increase,missing,GPT-4o mini Transcribe,97.47899159663865,combined_22,4426736
1,onto that yeah thank you as an additional information from 1 pass the end pass you now mention so as you,sunam pak krishna from mandiri as an additional information from both pak sunam and pak sunam mentioned so as you,missing,GPT-4o mini Transcribe,71.28712871287128,combined_22,4426736
5,collaboration with digital player to help accelerate digital transformation already 5 business has helped us run the company suddenly when 1,or collaborations with digital player champions to help accelerate digital transformations our diversified business has helped us run the company,missing,GPT-4o mini Transcribe,82.85714285714285,combined_22,4426736
5,collaboration with digital player to help accelerate digital transformation already 5 business has helped us run the company suddenly when 1,or collaborations with digital player champions to help accelerate digital transformations our diversified business has helped us run the company,missing,GPT-4o mini Transcribe,82.85714285714285,combined_22,4426736
1,works for subsequent projects that we have in the pipeline 1 we finish the research phase which should come shortly this,works for subsequent projects that we have in the pipeline once we finish the research phase which should come shortly,missing,whisper-small,97.85407725321889,combined_22,4432298
3,as we announced before this year you can also expect 3 providing small bonus content for gamers as well as an,as we announced before this year you can also expect cdlcs providing small bonus content for gamers as well as,missing,whisper-small,95.41284403669725,combined_22,4432298
3,as we announced before this year you can also expect 3 providing small bonus content for gamers as well as an,as we announced before this year you can also expect cdlcs providing small bonus content for gamers as well as,missing,whisper-small,95.41284403669725,combined_22,4432298
1,works for subsequent projects that we have in the pipeline 1 we finish the research phase which should come shortly this,works for subsequent projects that we have in the pipeline once we finish the research phase which should come shortly,missing,whisper-small,97.85407725321889,combined_22,4432298
3,as we announced before this year you can also expect 3 providing small bonus content for gamers as well as an,as we announced before this year you can also expect cdlcs providing small bonus content for gamers as well as,missing,whisper-small,95.41284403669725,combined_22,4432298
1,works for subsequent projects that we have in the pipeline 1 we finish the research phase which should come shortly this,works for subsequent projects that we have in the pipeline once we finish the research phase which should come shortly,missing,whisper-large-v3-turbo,97.85407725321889,combined_22,4432298
12,123 million euros during the last 12 months these last 12 months saw quite some activity in terms of portfolio management,during the last couple of months these last couple of months saw quite some activity in terms of portfolio management,missing,whisper-small,90.0,combined_22,4443871
2,and tourism is a relevant part of our shopping centers 2 we still have significant people working from home meaning less,and tourism is a relevant part of our shopping centers we still have significant people working from home meaning less,missing,whisper-small,98.30508474576271,combined_22,4443871
1,be great okay paulo do you want to take these 1 is sure good morning to you all good morning to,be great okay bye sure sure good morning to you all good morning jose thank you for the question regarding,missing,whisper-small,77.77777777777779,combined_22,4443871
4,positive which means again we not allowed utilize full capacity 4 our the the timing restrictions are meaningful shopping centers have,positive which means again were not allowed to utilize full capacity for our the timing restrictions are very meaningful shopping,missing,whisper-small,92.80000000000001,combined_22,4443871
2,the comparables and and particularly in biedronka for the next 2 couple of of courses will be more difficult or or,the comparables and particularly in biedronka for the next couple of quarters will be more difficult or more demanding we,missing,whisper-small,92.3076923076923,combined_22,4443920
2018,guys here that we had a claim discuss been discussing 2018 and we we were able to gain this this claim,the fault that we have a claim discussed being discussed since youre and we were able to gain this disclaim,missing,whisper-small,80.0,combined_22,4449269
2,a result of this measures our operating margin was up 2 fold nearly now the net income the net result of,a result of these measures operating margin was up to fold nearly now the net income the net result of,missing,whisper-small,94.11764705882352,combined_22,4450488
2,a result of this measures our operating margin was up 2 fold nearly now the net income the net result of,a result of these measures operating margin was up to fold nearly now the net income the net result of,missing,whisper-small,94.11764705882352,combined_22,4450488
2,goes as scheduled now our energy development program we move 2 fold we are working on the renewable energy sources but,goes as scheduled now our energy development program we move twofold we are working on the renewable energy sources but,missing,GPT-4o mini Transcribe,97.45762711864407,combined_22,4450488
2,goes as scheduled now our energy development program we move 2 fold we are working on the renewable energy sources but,goes as scheduled now our energy development program we move twofold we are working on the renewable energy sources but,missing,GPT-4o mini Transcribe,97.45762711864407,combined_22,4450488
0,any participants need assistance during this call please pre ss 0 to reach the operator this event is also being broadcast,any participants need assistance during this call please pre ss start zero to reach the operator this event is also,missing,whisper-small,95.02262443438913,combined_22,4450779
2,ubs hello guys good afternoon thanks for taking my question 2 things id like to discuss here please and first thanks,guys good afternoon thanks for taking our question to the themes youd like to discuss here please and first thanks,missing,whisper-small,90.0,combined_22,4450779
2,may remove yourself from the queue by pre ssing star 2 questions will be taking the order of your seat we,may remove yourself from the queue by my pre sence time too questions youll be taking in the order they,missing,whisper-small,83.93782383419689,combined_22,4450779
0,any participants need assistance during this call please pre ss 0 to reach the operator this event is also being broadcast,need assistance during this call please pre ss star zero to reach the operator this event is also being broadcast,missing,GPT-4o mini Transcribe,95.41284403669725,combined_22,4450779
4,the atv that you start stopped being recognized during the 4 and should result in operational average thanks so just reading,for the atv that you start being recognized during the fourth key and should result in operating leverage thanks hi,missing,GPT-4o mini Transcribe,85.71428571428572,combined_22,4450779
4,the atv that you start stopped being recognized during the 4 and should result in operational average thanks so just reading,for the atv that you start being recognized during the fourth key and should result in operating leverage thanks hi,missing,GPT-4o mini Transcribe,85.71428571428572,combined_22,4450779
1,statistics during the ipo and i just wanted the developed 1 is here and what is the share of total orders,statistics going to ipo and i just on the development here and what is the share of total orders delivered,missing,whisper-small,88.55721393034825,combined_22,4452058
1,thank you cesar for for your question for the first 1 outlook is whether outlook looks tougher or not well the,for your question for the first time out of age whether its out of birth supper or not while the,missing,whisper-small,76.34408602150538,combined_22,4452058
1,to register for a question please pre ss star and 1 on your telephone ladies and gentlemen there are no further,reminder to register for a question please pre ss down on your telephone ladies and gentlemen there are no further,missing,whisper-large-v3-turbo,94.44444444444444,combined_22,4452058
1,statistics during the ipo and i just wanted the developed 1 is here and what is the share of total orders,statistics during the ipo and i just want to go to development here and what is the share of total,missing,whisper-large-v3-turbo,89.79591836734694,combined_22,4452058
1,to register for a question please pre ss star and 1 on your telephone ladies and gentlemen there are no further,reminder to register for a question please pre ss down on your telephone ladies and gentlemen there are no further,missing,whisper-large-v3-turbo,94.44444444444444,combined_22,4452058
1,statistics during the ipo and i just wanted the developed 1 is here and what is the share of total orders,statistics during the ipo and i just want to go to development here and what is the share of total,missing,whisper-large-v3-turbo,89.79591836734694,combined_22,4452058
1,to register for a question please pre ss star and 1 on your telephone ladies and gentlemen there are no further,reminder to register for a question please pre ss down on your telephone ladies and gentlemen there are no further,missing,whisper-large-v3-turbo,94.44444444444444,combined_22,4452058
1,statistics during the ipo and i just wanted the developed 1 is here and what is the share of total orders,statistics during the ipo and i just want to go to development here and what is the share of total,missing,whisper-large-v3-turbo,89.79591836734694,combined_22,4452058
1,statistics during the ipo and i just wanted the developed 1 is here and what is the share of total orders,of statistics during the ipo and i just wondered the development here and what is the share of total orders,missing,GPT-4o mini Transcribe,92.82296650717703,combined_22,4452058
1,are waiting to sell but its next year over this 1 but the intention of the company is still systems our,are not ready to talk about this this might be next year but the intention of the company is they,missing,whisper-large-v3-turbo,71.35135135135135,combined_22,4453076
4,you will focus on witcher 3 next gen or witcher 4 maybe so well the the choice of course is is,you refocus on what youre free next gen or what youre for maybe so well the choice of course is,missing,whisper-small,75.53191489361703,combined_22,4453085
1,is a fantastic business and a real performer in in 1 of the when i look at some things were really,chemical business which is a fantastic business and a real performer and when i look at some things were really,missing,whisper-large-v3-turbo,91.89189189189189,combined_22,4453225
4,mitigating the the cost impact of of gas sourcing in 4 key but i i dont know if you could maybe,mitigating the the cost impact of the gas sourcing in the for key but i dont know if you could,missing,whisper-small,91.80327868852459,combined_22,4461799
4,mitigating the the cost impact of of gas sourcing in 4 key but i i dont know if you could maybe,looking at mitigating the cost impact of the gas sourcing in forky but i dont know if you could maybe,missing,whisper-large-v3-turbo,90.81081081081082,combined_22,4461799
1,that right yeah i didnt quite yeah thats the first 1 yeah could you just repeat it harlan so we got,didnt quite hear it yeah thats the first part yeah could you just repeat it to harlan so we got,missing,whisper-large-v3-turbo,90.9090909090909,combined_22,4462231
1,that right yeah i didnt quite yeah thats the first 1 yeah could you just repeat it harlan so we got,is that right i didnt quite yeah thats the first part yeah could you just repeat it harlan so we,missing,GPT-4o mini Transcribe,93.19371727748691,combined_22,4462231
1,ss star 1 star and 1 to give you question 1 second currently there are no participants with questions we will,wait for your questions until you ask a question once again currently there are no participants with questions we will,missing,whisper-small,78.35051546391753,combined_22,4463693
6,safety of the citizens now lets go to network page 6 energy distribution improvement reflects the recent of the sanitary conditions,safety of the citizens now lets go to network thanks to you energy distribution improvement reflects the ratio using the,missing,whisper-small,87.44588744588745,combined_22,4464164
6,safety of the citizens now lets go to network page 6 energy distribution improvement reflects the recent of the sanitary conditions,safety of the citizens now lets go to network were stupid energy distribution improvement reflects the recent easing of the,missing,whisper-large-v3-turbo,91.45299145299145,combined_22,4464164
2,the fact arising from the coal stake impairment associated to 2 and the voluntary retirement program announced last quarter the coal,from the coal stock impairment associated to bocamina ii and the voluntary retirement program announced last quarter the coal stock,missing,GPT-4o mini Transcribe,91.05691056910568,combined_22,4464164
2,the fact arising from the coal stake impairment associated to 2 and the voluntary retirement program announced last quarter the coal,from the coal stock impairment associated to bocamina ii and the voluntary retirement program announced last quarter the coal stock,missing,GPT-4o mini Transcribe,91.05691056910568,combined_22,4464164
2,very evident its a its a high growth category overall 2 we are we said it multiple times we are committed,and very evident its a high growth category overall to we are weve said it multiple times we are committed,missing,whisper-small,94.68599033816425,combined_22,4466251
22,prices are lower than the current prices or compared to 22 i mean on the year to date average how does,prices are lower than the current prices or compared to so far on the year to date average you call,missing,whisper-large-v3-turbo,90.35532994923858,combined_22,4466251
1,you wish to ask a question please pre ss zero 1 on your telephone keypad thank you for holding until we,you wish to ask a question please pre ss zero on your telephone keypad thank you for holding until we,missing,GPT-4o mini Transcribe,98.01980198019803,combined_22,4466251
1,you wish to ask a question please pre ss zero 1 on your telephone keypad thank you for holding until we,you wish to ask a question please pre ss zero on your telephone keypad thank you for holding until we,missing,GPT-4o mini Transcribe,98.01980198019803,combined_22,4466251
2,model based on machine learning initial results indicate high rep 2 rates and higher limits without negatively impacting the historically low,model based on machine learning initial results indicate higher approval rates and higher limits without negatively impacting the historical law,missing,whisper-large-v3-turbo,93.61702127659575,combined_22,4466399
2,model based on machine learning initial results indicate high rep 2 rates and higher limits without negatively impacting the historically low,model based on machine learning initial results indicate higher approval rates and higher limits without negatively impacting the historical law,missing,whisper-large-v3-turbo,93.61702127659575,combined_22,4466399
50,return to our path of having a efficiency ratios below 50 and looking more to mid 40s in the midterm which,will return to our part of having a teaching degree im looking more to meet forest in the meantime which,missing,whisper-small,70.1923076923077,combined_22,4466718
2,and what you need its your id identity number and 2 more or 3 more data and so that explains why,and what you need is your identity number and you are more more more more data and so that explains,missing,whisper-small,86.45833333333334,combined_22,4466718
11,clients of the construction sector in columbia moving to slide 11 we give you a snapshot of provisions and asset quality,of the construction sector in colombia moving to the slide we give you a snapshot of provisions and massive quality,missing,whisper-large-v3-turbo,94.27312775330397,combined_22,4466718
2,yourself from the question cue please pre ss star then 2 if youre using a speaker phone you may need to,remove yourself from the question queue please pre ss start then too if youre using a speakerphone you may need,missing,whisper-large-v3-turbo,93.20388349514563,combined_22,4466718
14,the cost of the deposits may increase on to slide 14 we pre sent on slide 14 we pre sent a,the expected hikes from the central bank the cost of deposits may increase on news late we pre sent a,missing,whisper-large-v3-turbo,76.0,combined_22,4466718
1,early we will have a our first on on may 1 pre sidential election and then we have a lot of,still early we will have our first round on may the pre sidential election and we have a lot of,missing,GPT-4o mini Transcribe,92.22222222222223,combined_22,4466718
8,exactly the the topic of the next side so slide 8 with this platform we now become truly global so we,thats exactly the topic of the next slide so psydate with this platform we now become truly global so we,missing,whisper-small,93.46733668341709,combined_22,4466797
1,pick up your handset before pre ssing the star key 1 moment please while we poll for questions thank you our,pick up your handset before pre ssing the star keys moment please while we poll for questions thank you first,missing,whisper-small,97.16981132075472,combined_22,4467071
1,pleased to produce record third quarter gross profit on both 1 and margin base our gross profit increased 28.7 to 51.6,pleased to produce record third quarter gross profit on both a dollar and margin base our gross profit is a,missing,whisper-large-v3-turbo,94.11764705882352,combined_22,4467071
2,is in the question queue you may pre ss star 2 if you would like to remove your question from the,in the question queue you may pre ss star too if you would like to remove your question from the,missing,whisper-large-v3-turbo,97.89473684210527,combined_22,4467071
0,should require operator assistance during the conference please pre ss 0 on your telephone keypad as a reminder this conference is,should require operator assistance during the conference please pre ss star zero on your telephone keypad as a reminder this,missing,whisper-large-v3-turbo,95.83333333333334,combined_22,4467071
0,should require operator assistance during the conference please pre ss 0 on your telephone keypad as a reminder this conference is,should require operator assistance during the conference please pre ss star zero on your telephone keypad as a reminder this,missing,GPT-4o mini Transcribe,95.83333333333334,combined_22,4467071
0,should require operator assistance during the conference please pre ss 0 on your telephone keypad as a reminder this conference is,should require operator assistance during the conference please pre ss star zero on your telephone keypad as a reminder this,missing,GPT-4o mini Transcribe,95.83333333333334,combined_22,4467071
2,we have a lot of soybean planted in by year 2 things that we know that historically these are regions we,we have a lot of soy being planted in marinhão piauí bahia too things that we know that historically these,missing,whisper-small,76.92307692307692,combined_22,4467079
6,as i was mentioning increasing the operating fleet and the 6 costs as we return nts and accelerate transition from the,we are as i was mentioning increasing the operating fleet and ballooning fixed costs as we return ngs and accelerate,missing,whisper-small,86.91588785046729,combined_22,4467717
2,sure im sorta comparing apples to apples here so sep 2 your total liquidity it looked like it ended at 2.1,sure im sort of comparing apples to apples here so sepq your total liquidity it looked like it ended at,missing,whisper-small,96.58536585365853,combined_22,4467717
8,event was a transition of the fleet to boeing max 8 in pre paration for this strong recovery in air travel,event was the transition of the fleet to boeing maxis in pre paration for the strong recovery in air travel,missing,whisper-large-v3-turbo,94.33962264150944,combined_22,4467717
6,as i was mentioning increasing the operating fleet and the 6 costs as we return nts and accelerate transition from the,we are as i was mentioning increasing the operating fleet and ballooning fixed costs as we return ngs and accelerate,missing,whisper-large-v3-turbo,86.91588785046729,combined_22,4467717
80000,because those are marketing events it will be customers around 80000 to its really really difficult to g to give you,the customer is a long to pose into a venue queue its really really difficult to to give you a,missing,whisper-large-v3-turbo,74.69879518072288,combined_22,4467717
8,event was a transition of the fleet to boeing max 8 in pre paration for this strong recovery in air travel,event was the transition of the fleet to boeing maxes in pre paration for the strong recovery in air travel,missing,GPT-4o mini Transcribe,94.33962264150944,combined_22,4467717
1,it is clear that its accounting and little bit complex 1 so i will leave it to the on the first,to laurent its clear that its an accounting and a a little bit of difficulty to laurent on the first,missing,whisper-small,75.26881720430107,combined_22,4468000
60,to the closure of at this for long term system 60 million euro as well integration and acquisition costs related to,related to the closure of aptis bus for the rd certificate looked as well integration and acquisition costs related to,missing,whisper-small,80.0,combined_22,4468000
10,for the zero in all our sites it took us 10 years to develop it within we aim at deploying it,industry for the zero in all our sites it took ten years to develop we really aim at deploying it,missing,whisper-small,87.29281767955801,combined_22,4468000
2,cash flow has been impacted by working capital consumption year 2 phasing you just get a project stabilization so this 1,cash flow has been impacted by non recruiting working capital consumption due to phasing in the scale ramp up non,missing,whisper-small,77.07317073170732,combined_22,4468000
10,for the zero in all our sites it took us 10 years to develop it within we aim at deploying it,industry for the zero in all our sites it took ten years to develop we really aim at deploying it,missing,whisper-small,87.29281767955801,combined_22,4468000
1,project with what was published end of march but only 1 up absolutely good morning gedermo so yeah we do confirm,by project with what was published kind of last doran yvon toussémane absolutely good morning guillermo so yeah we do,missing,whisper-large-v3-turbo,78.57142857142857,combined_22,4468000
2,cash flow has been impacted by working capital consumption year 2 phasing you just get a project stabilization so this 1,our free cash flow has been impacted by non recurring working capital consumption due to phasing industrial ramp up non,missing,whisper-large-v3-turbo,73.93364928909952,combined_22,4468000
2,cash flow has been impacted by working capital consumption year 2 phasing you just get a project stabilization so this 1,our free cash flow has been impacted by non recurring working capital consumption due to phasing industrial ramp ups non,missing,GPT-4o mini Transcribe,73.89162561576354,combined_22,4468000
1,project with what was published end of march but only 1 up absolutely good morning gedermo so yeah we do confirm,project with what was published end of last october do you want to say more absolutely good morning guillermo so,missing,GPT-4o mini Transcribe,79.02439024390245,combined_22,4468000
1,transaction that weve done and opportunities going going forward so 1 thing why dont we move into the downstream to talk,transaction that weve done and the opportunities going forward so walter why dont we move into the downstream to talk,missing,whisper-large-v3-turbo,89.74358974358975,combined_22,4468307
1,operator we also highlight the commerciality of boranda and flamencos 1 discoveries which are part of the near field exploration strategy,operator we also highlight the commerciality of boranda and flamencos i discoveries which are part of the near field exploration,missing,GPT-4o mini Transcribe,99.21875,combined_22,4468307
84,other words what would be the delta now that you 84 you know full consolidation and then the the the final,other words what would be the delta now that youre and then the final question is a really stupid question,missing,whisper-small,76.57142857142857,combined_22,4468647
4,on private equity gains the guidance in the on the 4 fourth quarter we had for sure some specific exit on,andrew so on private equity gains the guidance on the fourth quarter we had for sure some specific exit on,missing,whisper-large-v3-turbo,95.52238805970148,combined_22,4468647
4,on private equity gains the guidance in the on the 4 fourth quarter we had for sure some specific exit on,andrew so on private equity gains the guidance on the fourth quarter we had for sure some specific exit on,missing,GPT-4o mini Transcribe,95.52238805970148,combined_22,4468647
2,dollars of business ex covid ex covid effect between virgin 2 and xtag that is a nice solid business and is,dollars of business ex covid ex covid effect between vergin to an extract that is a nice solid business and,missing,whisper-small,94.7867298578199,combined_22,4468654
2,quick follow up on on the synergies given that the 2 launches is now expected weeks more far out in 2022,quick follow up on those synergies given that the regime to launch is not expected a bit more far out,missing,whisper-small,85.27918781725889,combined_22,4468654
2,this is nothing to do with the delay on version 2 manufacturing when it comes to the version 2 the cartridge,has nothing to do with the delay on verging to manufacture when it comes to the verging to the cartridge,missing,whisper-small,90.29126213592234,combined_22,4468654
2,on version 2 manufacturing when it comes to the version 2 the cartridge i think you you you you put it,the delay on veraging to manufacturing when it comes to the very into the cartridge i think you put it,missing,whisper-large-v3-turbo,85.56701030927836,combined_22,4468654
2,dollars of business ex covid ex covid effect between virgin 2 and xtag that is a nice solid business and is,of business ex covid ex covid effect between virgin ii and nextech that is a nice solid business and is,missing,whisper-large-v3-turbo,95.04950495049505,combined_22,4468654
